scientific_name;french_name;group_fr;IUCN;english_name;group_en;Guinea;Liberia;Cote_Ivoire;inaturalist
Neocossyphus poensis;Neocossyphe a queue blanche;Oiseau;LC;White-tailed ant thrush;Bird;n;y;y;https://www.inaturalist.org/taxa/13156
Nicator chloris;Bulbul Nicator;Oiseau;LC;Western nicator;Bird;y;y;y;https://www.inaturalist.org/taxa/116990
Numida meleagris;Pintade de Numidie;Oiseau;LC;Helmeted guineafowl;Bird;y;n;n;https://www.inaturalist.org/taxa/1428
Oiseau sp.;Oiseau sp.;Oiseau;NA;Bird sp.;Bird;y;y;y;
Pachycoccyx audeberti;Coucou d'Audebert;Oiseau;LC;Thick-billed cuckoo;Bird;y;y;y;https://www.inaturalist.org/taxa/2003
Pardipicus nivosus;Pic tachete;Oiseau;LC;Buff-spotted woodpecker;Bird;y;y;y;https://www.inaturalist.org/taxa/1506334
Peliperdix lathami;Francolin de Latham;Oiseau;LC;Forest francolin;Bird;y;y;y;https://www.inaturalist.org/taxa/550885
Phasianidae sp.;Phasianide sp.;Oiseau;NA;Phasianids;Bird;y;y;y;
Phoeniculus purpureus;Irrisor moqueur;Oiseau;LC;Green woodhoopoe;Bird;y;n;n;https://www.inaturalist.org/taxa/20934
Phyllanthus atripennis;Phyllanthe capucin;Oiseau;VU;Grey-hooded capuchin babbler;Bird;y;n;n;https://www.inaturalist.org/taxa/339825
Phyllastrephus baumanni;Bulbul de Baumann;Oiseau;LC;Baumann's greenbul;Bird;y;n;n;https://www.inaturalist.org/taxa/14583
Picathartes gymnocephalus;Picatharte de Guinee;Oiseau;VU;White-necked rockfowl;Bird;y;y;y;https://www.inaturalist.org/taxa/14220
Picidae sp.;Pic sp.;Oiseau;NA;Woodpecker sp.;Bird;y;y;y;
Pitta angolensis;Breve d'Angola;Oiseau;LC;African pitta;Bird;n;y;y;https://www.inaturalist.org/taxa/14384
Ploceus cucullatus;Tisserin gendarme;Oiseau;LC;Village-weaver;Bird;y;y;y;https://www.inaturalist.org/taxa/13796
Ploceus sp.;Tisserin sp.;Oiseau;NA;Weaver sp.;Bird;y;y;y;
Podica senegalensis;Grebifoulque d'Afrique ;Oiseau;LC;African finfoot;Bird;y;y;y;https://www.inaturalist.org/taxa/62
Pogonornis bidentatus;Barbican bidente ;Oiseau;LC;Double-toothed barbet;Bird;y;n;n;https://www.inaturalist.org/taxa/1506317
